,job_title,job_date,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,experience in years,gender,Salary
332,محاسب,12/04/1444,شركة بوان للصناعات المعدنية   شركـة شـخـص واحـد,4-79457,خاص,متوسطة فئة ج,صناعة أصناف مصنوعة من الأسلاك ، يشمل ( سلك شائك ، سياج ، شبك ممدد ... الخ ),"['Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'حاصل على شهادة هيئة المحاسبين', 'ضروري', 'دبلوم محاسبة وحاصل على شهادة هيئة المحاسبين ', 'ضروري']",المنطقة الشرقية,AD DAMMAM...,"['Salary', '4500.0', 'Benefits', '600 بدل مواصلات']",دوام كامل,0 / 1,20202026244533,0,Male,4500.0
333,سائق شاحنة ثقيلة,12/04/1444,شركة ماجد مرشد مريشيد الحربي للمقاولات,14-1944043,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,"['Professional certificate \\ License data', 'رخصة قيادة عمومية', 'ضروري']",المدينة المنورة,YANBU...,"['Salary', '4500.0', 'Benefits', 'تأمين طبي وعلاوت سنوية وحوافز حسب تقييم مهندسي المشروع']",دوام كامل,0 / 5,20202026244526,2,Male,4500.0
334,مساعد إداري,12/04/1444,شركة ماجد مرشد مريشيد الحربي للمقاولات,14-1944043,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,Unknown,المدينة المنورة,YANBU...,"['Salary', '4000.0', 'Benefits', 'تأمين طبي']",دوام كامل,0 / 1,20202026244487,0,Female,4000.0
335,أخصائي عمليات موارد بشرية,12/04/1444,شركة إعتماد للموارد البشرية شركة شخص واحد,1-2366675,خاص,صغيرة فئة ب,أنشطة المتعهدين الذين يقدمون خدمات الطعام,"['Skill data', 'مهارات التواصل', 'متوسط', 'المعرفة الكافية في أنظمة إدارة الموارد البشرية', 'محترف', 'العقلية المستندة إلى البيانات', 'محترف', 'معايير أخلاقية عالية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026244482,2,Female,4000.0
336,أخصائي تسويق,12/04/1444,شركة إعتماد للموارد البشرية شركة شخص واحد,1-2366675,خاص,صغيرة فئة ب,أنشطة المتعهدين الذين يقدمون خدمات الطعام,"['Skill data', 'مهارة الاتصال', 'محترف', 'مهارة التحدث مع الجمهور', 'محترف', 'مهارة التفاوض', 'محترف', 'Language data', 'اللغة الانجليزية ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026244459,2,Female,4000.0
337,مدير توظيف,12/04/1444,شركة إعتماد للموارد البشرية شركة شخص واحد,1-2366675,خاص,صغيرة فئة ب,أنشطة المتعهدين الذين يقدمون خدمات الطعام,"['Skill data', 'مهارات التواصل مع الآخرين', 'محترف', ' العمل ضمن فريق', 'محترف', 'المرونة', 'محترف', 'Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026244448,2,Female,4000.0
338,مندوب مبيعات,12/04/1444,مؤسسة صالح عبدالله الجهني للتجارة,9-1974397,خاص,صغيرة فئة ب,أنشطة الخدمات الإدارية المتكاملة للمكاتب,"['Language data', 'اللغة العربية ', 'محترف', 'اللغة الإنجليزية ', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'عمولة على المبيعات ', 'تأمين طبي', '4000 رابت صافي بعد استقطاع اشتراك التامينات الاجتماعية ']",دوام كامل,0 / 2,20202026244295,0,Male,4000.0
339,محاسب,12/04/1444,مؤسسة نخبة حبيبه للحلويات,25-1958339,خاص,صغيرة فئة ب,البيع بالتجزئة لمنتجات المخابز والحلويات السكرية,"['Skill data', 'إستقبال', 'مبتدئ']",الجوف,TUBARJAL...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026244197,0,Both,4000.0
340,أخصائي مختبرات طبية,12/04/1444,مجمع المسعودي الاول,1-72177,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,"['Professional certificate \\ License data', 'الهيئه السعوديه للتخصصات الطبيه ', 'ضروري']",الرياض,UMM TALHA...,"['Salary', '5000.0']",دوام كامل,0 / 2,20202026244093,0,Female,5000.0
341,سكرتير تنفيذي,12/04/1444,شركةاحمدعبدالرحمن النويصر,9-1676611,خاص,صغيرة فئة ب,أنشطة المحاماة والاستشارات القانونية,"['Language data', 'اللغة الانلجيزية', 'محترف']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'حسب سياسات الشركة ']",دوام كامل,0 / 1,20202026243983,0,Male,4000.0
