,job_title,job_date,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,experience in years,gender,Salary
0,محاسب,27/05/1444,شركة مقر العالم للسفريات,1-317262,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,"['Language data', 'اللغة الانجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026350419,0,Both,5000.0
1,بائع,27/05/1444,شركة عالم الكهرباء للمقاولات,4-1324428,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,Unknown,المنطقة الشرقية,AD DAMMAM...,"['Salary', '5000.0']",دوام كامل,0 / 3,20202026350389,0,Both,5000.0
2,أخصائي عمليات موارد بشرية,27/05/1444,شركه دار السلام,1-155294,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,"['Language data', 'الانجليزيه', 'محترف']",الرياض,ATH THUMA...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026350347,2,Both,4000.0
3,ميكانيكي سيارات,27/05/1444,مؤسسة لمكو لغيار الزيوت,8-1925495,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'صيانة السيارات وتقييم الاعطال', 'محترف']",المنطقة الشرقية,AL HUFUF...,"['Salary', '5000.0']",دوام كامل,0 / 10,20202026350219,0,Male,5000.0
4,محاسب,27/05/1444,مؤسسة فكرة اليمامة للمقاولات,1-2356639,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,"['Skill data', 'تحمل ضغط العمل', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'التسجيل في هيئة المحاسبين السعوديين', 'مفيد']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026350043,0,Both,5000.0
5,مراقب كاميرات أمنية,27/05/1444,مطاعم تراث الدمشقية للوجبات السريعة,1-1527188,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'اجادة الحاسب والتقنية ', 'متوسط', 'Language data', 'اللغة الانجليزية ', 'مبتدئ']",الرياض,AR RIYADH...,"['Salary', '4500.0']",عمل عن بعد,0 / 1,20202026350031,0,Both,4500.0
6,سكرتير تنفيذي,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '6000.0']",دوام كامل,0 / 2,20202026349999,4,Female,6000.0
7,مدير مكتب,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '8000.0']",دوام كامل,0 / 1,20202026349997,4,Female,8000.0
8,أخصائي إدارة مشاريع,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف', 'Professional certificate \\ License data', 'PMP', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '10000.0']",دوام كامل,0 / 3,20202026349992,2,Female,10000.0
9,مصمم جرافيك,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 2,20202026349583,4,Female,5000.0
10,أخصائي ذكاء أعمال,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,20202026349578,0,Both,7200.0
11,بائع,26/05/1444,شركة بيت قطن للتجارة شركة شخص واحد,1-2397423,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,AL BATALI...,"['Salary', '4000.0']",دوام كامل,0 / 5,20202026349573,0,Both,4000.0
12,محلل بيانات,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,20202026349572,0,Both,7200.0
13,مدير حساب عميل,26/05/1444,مؤسسة عبر السوق لتقنية المعلومات,9-2046127,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'التسويق', 'مبتدئ', 'كتابة المحتوى', 'مبتدئ', 'مهارات التفاوض', 'مبتدئ', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '6000.0']",دوام كامل,0 / 3,20202026349523,2,Female,6000.0
14,مصمم جرافيك,26/05/1444,مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,Unknown,حائل,HAIL...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026349504,4,Male,7000.0
15,مدخل بيانات,26/05/1444,مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,Unknown,حائل,HAIL...,"['Salary', '3000.0']",دوام كامل,0 / 2,20202026349475,2,Male,3000.0
16,مطور برامج,26/05/1444,مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,Unknown,حائل,HAIL...,"['Salary', '9000.0']",دوام كامل,0 / 1,20202026349439,4,Male,9000.0
17,أخصائي إدارة اداء,26/05/1444,مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,Unknown,حائل,HAIL...,"['Salary', '12000.0']",دوام كامل,0 / 1,20202026349417,10,Male,12000.0
18,مدخل بيانات,26/05/1444,شركة إرتقاء المتحدة لاجهزة السلامة,9-2117904,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,Unknown,مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026349390,2,Female,4000.0
19,كيميائي,26/05/1444,شركة الغدير الدوليه للتسويق,13-1946886,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,"['Language data', 'الانجليزي ', 'متوسط', 'Professional certificate \\ License data', 'شهادة الهيئة الصحية للتخصصات الصحية ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '5500.0']",دوام كامل,0 / 1,20202026349224,0,Female,5500.0
20,محاسب,26/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,1-321449,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026349216,0,Female,5000.0
21,مهندس زراعي,26/05/1444,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,9-170461,خاص,عملاقة,خدمات جمع النفايات البلدية,"['Professional certificate \\ License data', 'الهيئة العامة للمهندسين ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '8400.0']",دوام كامل,0 / 1,20202026348990,2,Male,8400.0
22,محاسب,26/05/1444,شركة خدمات للوقود,1-2222975,خاص,صغيرة فئة ب,البيع بالتجزئة لمعدات محطات الوقود وقطع غيارها وتشمل (مضخات الوقود),"['Skill data', 'التعامل مع الحاسب ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', '500']",دوام كامل,0 / 1,20202026348866,2,Female,4000.0
23,محلل نظم المعلومات,26/05/1444,شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),1-2089504,خاص,متوسطة فئة ج,إنشاء وإقامة محطات وأبراج الاتصالات السلكية واللاسلكية والرادار,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', '2000']",دوام كامل,0 / 4,20202026348692,2,Both,4000.0
24,محاسب,26/05/1444,مؤسسة سلاسل بابل للمقاولات,13-97350,خاص,صغيرة فئة ب,ترميمات المباني السكنية والغير سكنية,"['Skill data', 'الحاسب', 'محترف', 'Language data', 'الانجليزيه', 'متوسط', 'Professional certificate \\ License data', 'محاسب', 'ضروري']",مكة المكرمة,GHITHAH...,"['Salary', '4000.0', 'Benefits', 'تأمين طبي حسب نظام مكتب العمل']",دوام كامل,0 / 1,20202026348685,0,Female,4000.0
25,مدير عام,26/05/1444,ورشة اضواء المشاعل للحدادة والالمنيوم,10-2010602,خاص,صغيرة فئة أ,Unknown,"['Skill data', 'حداد', 'متوسط', 'Language data', 'اللغة العربية ', 'محترف', 'Professional certificate \\ License data', 'حداده', 'مفيد']",المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026348601,0,Male,4000.0
26,مساعد إداري,26/05/1444,مؤسسة اتجاهات النجاح للمقاولات,1-1118487,خاص,صغيرة فئة ب,الإنشاءات العامة للمباني السكنية,"['Language data', 'الإنجليزية ', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', '1000 حسب الخبره']",دوام كامل,0 / 1,20202026348520,0,Female,4000.0
27,كاتب علاقات حكومية,26/05/1444,شركة عبدالرؤف عبدالوهاب العيد للاستشارات المهنية,1-2420217,خاص,صغيرة فئة أ,أنشطة المكاتب الرئيسة,Unknown,الرياض,ABA ASLAB...,"['Salary', '6000.0']",دوام كامل,3 / 9,20202026348212,2,Female,6000.0
28,سكرتير تنفيذي,26/05/1444,شركة كاف الرقمية للدعاية والاعلان,1-2421924,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'صياغة التقارير بلغة عربية واضحة', 'متوسط', 'Language data', 'العربية', 'متوسط', 'Professional certificate \\ License data', 'لايهم', 'مفيد']",الرياض,AR RIYADH...,"['Salary', '4500.0']",دوام كامل,0 / 1,20202026348193,4,Male,4500.0
29,مندوب مبيعات,26/05/1444,شركة صندوق الرقمي للاتصالات و تقنية المعلومات,1-2404398,خاص,صغيرة فئة ب,أنشطة الخدمات الإدارية المتكاملة للمكاتب,"['Language data', 'انجليزي', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 2,20202026348186,0,Both,5500.0
30,مساعد إداري,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,1-2254620,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', '4000 SR']",دوام كامل,0 / 2,20202026348103,2,Female,4000.0
31,معلم حضانة,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,1-2254620,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,"['Skill data', 'سبق وتعاملت مع الاطفال اعداد انشطة والوحدات', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '3200.0', 'Benefits', '3200 ريال']",دوام كامل,0 / 3,20202026348099,0,Female,3200.0
32,فني كيميائي,25/05/1444,مصنع الاعشاب الشرقية للصناعة,6-1958652,خاص,صغيرة فئة أ,خلط وتعبئة العطور والزيوت والنباتات,Unknown,المنطقة الشرقية,AD DAMMAM...,"['Salary', '5000.0', 'Benefits', '500 بدل نقل و500 بدل سكن وتامين طبي']",دوام كامل,0 / 1,20202026348009,4,Male,5000.0
33,مهندس كهربائي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,10-2012715,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),Unknown,المدينة المنورة,AL MADINA...,"['Salary', '7000.0']",دوام كامل,0 / 2,20202026347930,4,Male,7000.0
34,مهندس ميكانيكي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,10-2012715,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),Unknown,المدينة المنورة,AL MADINA...,"['Salary', '7000.0']",دوام كامل,0 / 2,20202026347926,4,Male,7000.0
35,مدير إداري,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,10-2012715,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),Unknown,المدينة المنورة,AL MADINA...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026347921,4,Male,7000.0
36,فني هندسة ميكانيكية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,10-2012715,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),Unknown,المدينة المنورة,AL MADINA...,"['Salary', '4500.0']",دوام كامل,0 / 2,20202026347913,0,Male,4500.0
37,فني هندسة كهربائية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,10-2012715,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),Unknown,المدينة المنورة,AL MADINA...,"['Salary', '4500.0']",دوام كامل,0 / 2,20202026347910,0,Male,4500.0
38,مدخل بيانات,25/05/1444,مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,14-1953483,خاص,صغيرة فئة ب,إصلاح وصيانة المحطات والشبكات والخطوط الرئيسية لتوزيع المياه,"['Skill data', 'مدخل بيانات ', 'محترف', 'Language data', 'العربية ', 'محترف', 'Professional certificate \\ License data', 'شهادة اعلان ', 'مفيد']",المدينة المنورة,YANBU...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026347907,0,Male,4000.0
39,محاسب,25/05/1444,حلاق ديوان الدانه للحلاقة,4-2002778,خاص,صغيرة فئة أ,الصالونات الرجالية,"['Skill data', 'محاسبة  ', 'متوسط', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'شهادة خبرة ', 'ضروري']",المنطقة الشرقية,AD DAMMAM...,"['Salary', '4500.0']",دوام كامل,0 / 2,20202026347726,2,Both,4500.0
40,مدير فرع,25/05/1444,شركة الزي للتجارة,9-2079452,خاص,متوسطة فئة أ,Unknown,"['Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",المنطقة الشرقية,DHAHRAN...,"['Salary', '4500.0', 'Benefits', 'حسب سنوات الخبرة']",دوام كامل,0 / 1,20202026347650,2,Both,4500.0
41,بائع,25/05/1444,مجمع الرائعه الاقتصاديه التجاري,20-1958829,خاص,صغيرة فئة أ,مجمعات تجارية استهلاكية,Unknown,الباحة,AL AQIQ...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026347521,0,Female,4000.0
42,موظف استقبال فندق,25/05/1444,فندق قصر الواحة الفندقية,1-2440535,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'الاستقبال الفندقي', 'محترف', 'الاستقبال', 'محترف', 'Language data', 'الانجليزي', 'محترف', 'العربي', 'محترف', 'Professional certificate \\ License data', 'ادارة فنادق', 'مفيد']",الرياض,AR RIYADH...,"['Salary', '4500.0', 'Benefits', 'تارقت شهري', 'بونص سنوي']",دوام كامل,0 / 4,20202026347394,2,Both,4500.0
43,مندوب مبيعات,25/05/1444,شركـة مجموعة المساع المحدودة,9-1386554,خاص,صغيرة فئة أ,البيع بالتجزئة للمولدات الكهربائية ولوازمها,Unknown,مكة المكرمة,JEDDAH...,"['Salary', '5000.0']",دوام كامل,0 / 2,20202026347260,2,Both,5000.0
44,أخصائي تسويق,25/05/1444,شركة مصدر الحياة للصناعات الغذائية,1-203353,خاص,كبيرة,صناعة الخبز ومنتجاته بواسطة المخابز الآلية,"['Skill data', 'اجادة الحاسب الالي', 'متوسط', 'Language data', 'الانجليزية ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 10,20202026347254,0,Both,5500.0
45,كاتب استعلامات مركز خدمة عملاء,25/05/1444,شركة الرهدن,4-2009325,خاص,كبيرة,غسل وكي والتنظيف الجاف لشتى أنواع الملابس بما فيها الفراء والمنسوجات وتشمل جمع وتوزيع الغسيل,Unknown,المنطقة الشرقية,AD DAMMAM...,"['Salary', '4500.0', 'Benefits', 'اجازه يومين بالاسبوع ']",دوام كامل,0 / 2,20202026346949,0,Both,4500.0
46,بائع,25/05/1444,شركة متاجر رمانة التجارية,1-2082101,خاص,متوسطة فئة أ,بيع المشروبات بالتجزئة في المتاجر المتخصصة,Unknown,الرياض,ABA ASLAB...,"['Salary', '4500.0']",دوام كامل,0 / 10,20202026346948,0,Male,4500.0
47,بائع,25/05/1444,شركة مطعم بيت الشاورما لتقديم الوجبات,1-2239765,خاص,متوسطة فئة ج,Unknown,"['Language data', 'العربية ', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 50,20202026346891,0,Male,4000.0
48,بائع,25/05/1444,شركة أطياب غناتي التجارية,29-1959880,خاص,صغيرة فئة ب,Unknown,['Language data'],الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 10,20202026346879,2,Female,4000.0
49,أخصائي عمليات موارد بشرية,25/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,1-321449,خاص,متوسطة فئة ب,Unknown,['Language data'],الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026346827,0,Female,5000.0
50,أخصائي خدمة عملاء,25/05/1444,شركة بروج للكابلات,1-2500658,خاص,صغيرة فئة أ,Unknown,['Language data'],الرياض,AR RIYADH...,"['Salary', '6000.0']",دوام كامل,0 / 1,20202026346794,2,Both,6000.0
51,بائع,25/05/1444,شركة المشروبات والاطعمة الغذائية,1-2432212,خاص,صغيرة فئة ب,Unknown,"['Skill data', '-مهارة التواصل مع الآخرين.', 'متوسط', 'Language data']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 6,20202026346708,0,Both,4000.0
52,أخصائي جودة,25/05/1444,شركة مصنع الجواد للبلاستيك والتغليف المرن,8-1971512,خاص,متوسطة فئة ج,Unknown,"['Skill data', 'Language data']",المنطقة الشرقية,AL UYUN...,"['Salary', '4170.0', 'Benefits', 'بدل نقل 400']",دوام كامل,0 / 2,20202026346669,0,Both,4170.0
53,معلم صفوف أولية,25/05/1444,مدارس  الأختيار الاول الاهلية,1-1384889,خاص,صغيرة فئة ب,Unknown,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026346650,0,Female,4000.0
54,بائع,03/05/1444,شركة جبو رية للحلويات,3-1955781,خاص,متوسطة فئة ب,Unknown,Unknown,الرياض,AR RIYADH...,"['Salary', '4500.0', 'Benefits', 'تأمين طبي+ اجازة يوم واحد ']",دوام كامل,0 / 4,20202026310987,0,Male,4500.0
55,مساعد طب بيطري,03/05/1444,شركة مجموعة زيد الحسين واخوانة للمقاولات,1-280523,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,Unknown,الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 1,20202026310906,0,Both,5500.0
56,محاسب,03/05/1444,مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,34-1951545,خاص,صغيرة فئة أ,الإنشاءات العامة للمباني السكنية,Unknown,الرياض,WADI AD D...,"['Salary', '6000.0']",دوام كامل,0 / 2,20202026310835,0,Female,6000.0
57,صيدلي,02/05/1444,شركة مجمع الرحمة الطبي,1-1080292,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026310734,2,Female,4000.0
58,مهندس معماري داخلي,01/05/1444,شركة رتاج المسكن المحدودة (شركة شخص واحد),1-2444577,خاص,صغيرة فئة أ,أعمال وتركيب الديكورات المختلفة,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'ستكون مزايا اخرى في حال اتقان العمل']",دوام كامل,0 / 1,20202026310544,0,Both,4000.0
59,مهندس معماري,01/05/1444,شركة بوابة الفرسان للتصميم,1-2455778,خاص,صغيرة فئة ب,أنشطة تصميم الديكورات الداخلية,"['Skill data', 'اتقان برامج 3DMAX', 'متوسط', 'Language data', 'INGLISH', 'متوسط', 'Professional certificate \\ License data', 'اخصائي تصميم داخلي ', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4500.0', 'Benefits', 'تحدد عند المقابلة ']",دوام كامل,0 / 1,20202026310520,0,Female,4500.0
60,بائع مأكولات ومشروبات,30/04/1444,مقهى الفصل الخامس لتقديم المشروبات,20-1955938,خاص,صغيرة فئة ب,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,"['Language data', 'الانجليزية', 'مبتدئ']",عسير,TANUMAH...,"['Salary', '4500.0']",دوام كامل,0 / 2,20202026310433,0,Male,4500.0
61,خطاط,30/04/1444,مؤسسة دكان مخمل التجارية,3-1975905,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,Unknown,القصيم,BURAYDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026310422,0,Both,4000.0
62,منسق زهور,30/04/1444,مؤسسة دكان مخمل التجارية,3-1975905,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,Unknown,القصيم,BURAYDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026310421,0,Both,4000.0
63,مدير فرع,30/04/1444,شركة ماس الدولية للمقاولات شركة شخص واحد,1-2327153,خاص,متوسطة فئة أ,إنشاء الطرق والشوارع والارصفة ومستلزمات الطرق,Unknown,الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 1,20202026310157,2,Male,5500.0
64,أخصائي تطوير إداري,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي ']",دوام كامل,0 / 3,20202026310012,0,Both,4000.0
65,مدير تسويق,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي ']",دوام كامل,0 / 1,20202026310005,0,Both,4000.0
66,مدير خدمة العملاء,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي']",دوام كامل,0 / 1,20202026310000,2,Both,4000.0
67,أخصائي تسويق,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي ']",دوام كامل,0 / 4,20202026309966,0,Both,4000.0
68,مندوب مشتريات,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي']",دوام كامل,0 / 1,20202026309959,0,Both,4000.0
69,مندوب مبيعات,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي ']",دوام كامل,0 / 3,20202026309950,0,Both,4000.0
70,أخصائي خدمة عملاء,30/04/1444,بنتي للتجارة,1-2200070,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'تامين طبي']",دوام كامل,0 / 2,20202026309946,0,Both,4000.0
71,فني تدفئة وتهوية وتكييف,30/04/1444,مؤسسة مرميس للمقاولات,1-117181,خاص,صغيرة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026309926,0,Male,4000.0
72,مهندس ميكانيكي,30/04/1444,شركة زهرة الصحراء للخدمات اللوجستية,1-2600256,خاص,صغيرة فئة أ,الخدمات اللوجستية,Unknown,الرياض,AR RIYADH...,"['Salary', '7000.0']",دوام كامل,0 / 3,20202026309676,0,Male,7000.0
73,مدير رقابة ادارية,29/04/1444,محل عبدالرحمن عوظه عبدالله الشهراني التجارية,21-1947101,خاص,صغيرة فئة أ,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,Unknown,عسير,BISHAH...,"['Salary', '6000.0']",دوام كامل,0 / 1,20202026309551,0,Male,6000.0
74,موظف صندوق محاسبة,29/04/1444,مركز مناهل ديرتي لتجارة الجملة و التجزئة,13-79139,خاص,صغيرة فئة ب,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,Unknown,مكة المكرمة,MAKKAH AL...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026309496,0,Male,4000.0
75,موظف صندوق محاسبة,29/04/1444,شركة الوصفات المختلفة التجارية,1-1778274,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),Unknown,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026309318,0,Both,4000.0
76,مدير تسويق,28/04/1444,مؤسسة خالد فيحان نايف النفيعي العقاري,12-1963018,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,Unknown,مكة المكرمة,AL HAWIYA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026309160,0,Female,4000.0
77,صيدلي,28/04/1444,شركة نيرا الطبية,1-2156848,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,Unknown,الرياض,AR RIYADH...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026299094,0,Both,7000.0
78,مدير تدريب,28/04/1444,شركة حلال العالمي للتدريب,1-2468985,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,Unknown,الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026298850,0,Male,5000.0
79,مدير حساب عميل,28/04/1444,مؤسسة دعائم التقنية للحاسب الالي,9-140208,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,"['Skill data', 'مهارات تواصل كتابية وشفهية ', 'محترف', 'مهارات تنظيمية ', 'محترف', 'Language data', 'اللغة الانجليزية ', 'محترف']",الرياض,ABA ASLAB...,"['Salary', '5500.0', 'Benefits', '500 ']",دوام كامل,0 / 1,20202026298840,0,Female,5500.0
